Global Variable Usage Frequency (All Globals)
================================================================================

DAT_10012c4c         :    2 uses
DAT_10013c40         :    2 uses
DAT_10013c60         :    2 uses
DAT_10009530         :    2 uses
DAT_100095b0         :    2 uses
DAT_10013d18         :    2 uses
DAT_10013d1c         :    2 uses
DAT_10013d20         :    2 uses
DAT_10013d30         :    2 uses
DAT_10013d5c         :    2 uses
DAT_10013d7c         :    2 uses
DAT_10013dac         :    2 uses
DAT_10013d2c         :    2 uses
DAT_10013e50         :    2 uses
DAT_10013e54         :    2 uses
DAT_10013e58         :    2 uses
DAT_10013e5c         :    2 uses
DAT_10013e60         :    2 uses
DAT_10013e64         :    2 uses
DAT_10013e84         :    2 uses
DAT_10013e88         :    2 uses
DAT_10013e8c         :    2 uses
DAT_10013e90         :    2 uses
DAT_10013efc         :    2 uses
DAT_10013f00         :    2 uses
DAT_10013f04         :    2 uses
DAT_10013f08         :    2 uses
DAT_10013f0c         :    2 uses
DAT_10013f10         :    2 uses
DAT_10013f14         :    2 uses
DAT_10013f18         :    2 uses
DAT_10013f1c         :    2 uses
DAT_10013f20         :    2 uses
DAT_10013f24         :    2 uses
DAT_10013f28         :    2 uses
DAT_10013f2c         :    2 uses
DAT_10013f30         :    2 uses
DAT_10013f34         :    2 uses
DAT_10013f38         :    2 uses
DAT_10013f3c         :    2 uses
DAT_10013f40         :    2 uses
DAT_10013f44         :    2 uses
DAT_10013f48         :    2 uses
DAT_10016f72         :    2 uses
DAT_10016f74         :    2 uses
DAT_10009c8c         :    2 uses
DAT_10009d2c         :    2 uses
DAT_10009d30         :    2 uses
DAT_10009d34         :    2 uses
DAT_10009e58         :    2 uses
DAT_10009e5c         :    2 uses
DAT_10009e70         :    2 uses
DAT_10009eb4         :    2 uses
DAT_10009eb8         :    2 uses
DAT_10009f20         :    2 uses
DAT_10009f2c         :    2 uses
DAT_10009f34         :    2 uses
DAT_10009f3c         :    2 uses
DAT_0fb52740         :    1 uses
DAT_1001db30         :    1 uses
